Date,Volume,vw,Open,Close,High,Low,n,Symbol,Return,Cumulative Return,10-Day MA,100-Day MA
2023-01-03,112117471.0,125.725,130.28,125.07,130.9,124.17,1021065,AAPL,,,,
2023-01-04,89100633.0,126.6464,126.89,126.36,128.6557,125.08,770042,AAPL,0.010314224034540631,0.010314224034540631,,
2023-01-05,80716808.0,126.0883,127.13,125.02,127.77,124.76,665458,AAPL,-0.010604621715732843,-0.00039977612536978846,,
2023-01-06,87754715.0,128.1982,126.01,129.62,130.29,124.89,711520,AAPL,0.03679411294192936,0.036379627408651194,,
2023-01-09,70790813.0,131.6292,130.465,130.15,133.41,129.89,645365,AAPL,0.004088875173584361,0.04061725433757113,,
2023-01-10,63896155.0,129.822,130.26,130.73,131.2636,128.12,554940,AAPL,0.004456396465616574,0.04525465739186063,,
2023-01-11,69458949.0,132.3081,131.25,133.49,133.51,130.46,561278,AAPL,0.0211122160177466,0.06732229951227331,,
2023-01-12,71379648.0,133.171,133.88,133.41,134.26,131.44,635331,AAPL,-0.0005992958274029236,0.06668265771168147,,
2023-01-13,57809719.0,133.6773,132.03,134.76,134.92,131.66,537385,AAPL,0.01011918147065427,0.07747661309666576,,
2023-01-17,63612627.0,135.7587,134.83,135.94,137.29,134.13,595831,AAPL,0.008756307509646843,0.08691132965539294,130.45499999999998,
2023-01-18,69672800.0,136.3316,136.815,135.21,138.61,135.03,578304,AAPL,-0.005370016183610327,0.08107459822499408,131.469,
2023-01-19,58280413.0,134.9653,134.08,135.27,136.25,133.77,491674,AAPL,0.0004437541601953754,0.08155432957543796,132.35999999999999,
2023-01-20,80200655.0,136.3762,135.28,137.87,138.02,134.22,552230,AAPL,0.019220817624011177,0.10234268809466718,133.645,
2023-01-23,81760313.0,141.2116,138.12,141.11,143.315,137.9,719288,AAPL,0.023500398926525,0.12824818101862978,134.794,
2023-01-24,66435142.0,142.0507,140.305,142.53,143.16,140.3,498679,AAPL,0.010063071362766518,0.13960182297913182,136.03199999999998,
2023-01-25,65799349.0,140.7526,140.89,141.86,142.43,138.81,536505,AAPL,-0.00470076475128034,0.1342448228991766,137.145,
2023-01-26,54105068.0,143.3429,143.17,143.96,144.25,141.9,472135,AAPL,0.014803327224023555,0.15103542016470772,138.192,
2023-01-27,70547743.0,145.8365,143.155,145.93,147.23,143.08,560022,AAPL,0.01368435676576829,0.16678659950427766,139.44400000000002,
2023-01-30,64015274.0,143.6524,144.955,143.0,145.55,142.85,551111,AAPL,-0.020078119646405823,0.14335971855760787,140.268,
2023-01-31,65874459.0,143.6473,142.7,144.29,144.34,142.28,468170,AAPL,0.00902097902097898,0.1536739425921485,141.103,
2023-02-01,77663426.0,143.8723,143.97,145.43,146.61,141.32,693374,AAPL,0.00790075542310631,0.16278883825057977,142.125,
