Date,Volume,vw,Open,Close,High,Low,n,Symbol,Return,Cumulative Return,10-Day MA,100-Day MA
2023-01-03,28131224.0,89.3218,89.585,89.12,91.05,88.52,282704,GOOGL,,,,
2023-01-04,34744776.0,88.2547,90.35,88.08,90.65,87.271,367150,GOOGL,-0.011669658886894196,-0.011669658886894196,,
2023-01-05,27194375.0,86.5585,87.47,86.2,87.57,85.9,279558,GOOGL,-0.021344232515894568,-0.03276481149012567,,
2023-01-06,41380495.0,86.4609,86.79,87.34,87.69,84.86,400637,GOOGL,0.013225058004640466,-0.01997307001795323,,
2023-01-09,29003901.0,88.9553,88.36,88.02,90.05,87.86,296272,GOOGL,0.007785665216395676,-0.012342908438060962,,
2023-01-10,30462155.0,87.7964,85.98,88.42,88.67,85.83,301844,GOOGL,0.004544421722335823,-0.007854578096947895,,
2023-01-11,26861969.0,90.6538,89.18,91.52,91.6,89.01,258611,GOOGL,0.03505994118977607,0.026929982046678624,,
2023-01-12,30258135.0,91.152,91.48,91.13,91.87,89.75,299401,GOOGL,-0.0042613636363636465,0.022553859964093315,,
2023-01-13,26312692.0,91.4427,90.85,92.12,92.19,90.1299,240596,GOOGL,0.010863601448480198,0.03366247755834828,,
2023-01-17,32602423.0,91.2147,92.06,91.29,92.25,90.05,293466,GOOGL,-0.00900998697351274,0.024349192100538763,89.324,
2023-01-18,29116691.0,91.46,92.14,91.12,92.7999,90.64,273966,GOOGL,-0.0018621973929237035,0.02244165170556567,89.524,
2023-01-19,37000395.0,92.6345,90.72,93.05,93.605,90.63,317147,GOOGL,0.021180860403863022,0.04409784560143648,90.02099999999999,
2023-01-20,63109478.0,97.0686,95.1,98.02,98.3,95.02,529083,GOOGL,0.053412144008597506,0.09986535008976682,91.203,
2023-01-23,40005055.0,99.3302,97.95,99.79,100.04,97.5,382643,GOOGL,0.018057539277698487,0.11972621184919241,92.44800000000001,
2023-01-24,33078512.0,98.3538,98.1,97.7,99.61,97.2,331016,GOOGL,-0.020943982362962243,0.09627468581687637,93.41600000000001,
2023-01-25,42329952.0,94.7719,95.57,95.22,96.162,93.76,390831,GOOGL,-0.025383828045035917,0.06844703770197502,94.09599999999999,
2023-01-26,30113974.0,96.8419,96.5,97.52,97.57,95.38,274674,GOOGL,0.02415458937198056,0.09425493716337519,94.696,
2023-01-27,33879753.0,99.2303,97.31,99.37,100.32,97.31,300914,GOOGL,0.01897046759639065,0.1150134649910235,95.52,
2023-01-30,27226198.0,97.2083,97.48,96.94,98.29,96.395,253145,GOOGL,-0.02445406058166455,0.08774685816876127,96.002,
2023-01-31,29836169.0,98.1952,96.87,98.84,98.88,96.82,227701,GOOGL,0.019599752424179995,0.1090664272890487,96.757,
2023-02-01,35531104.0,99.5207,98.71,100.43,101.19,97.58,358769,GOOGL,0.016086604613516853,0.12690754039497332,97.688,
2023-02-02,69854980.0,106.587,105.8,107.74,107.85,105.61,711992,GOOGL,0.0727870158319226,0.2089317773788153,99.15700000000001,
2023-02-03,65309261.0,105.271,102.93,104.78,107.81,102.58,649581,GOOGL,-0.02747354742899566,0.1757181328545785,99.833,
2023-02-06,31999562.0,102.9999,102.4,102.9,104.36,101.88,335525,GOOGL,-0.01794235541133804,0.1546229802513468,100.144,
2023-02-07,49010230.0,105.6714,103.22,107.64,108.18,103.12,468454,GOOGL,0.04606413994169101,0.20780969479353706,101.138,
2023-02-10,54955496.0,95.0367,95.45,94.57,96.75,94.25,532872,GOOGL,-0.12142326272761061,0.061153500897666246,101.07300000000001,
2023-02-13,50045332.0,94.4976,94.74,94.61,95.2,93.84,429947,GOOGL,0.0004229671143070046,0.06160233393177772,100.78200000000001,
2023-02-14,54726120.0,93.7985,94.43,94.68,94.845,92.26,543054,GOOGL,0.000739879505337715,0.062387791741472576,100.31300000000002,
2023-02-15,50298481.0,96.0162,94.49,96.94,97.12,94.15,449018,GOOGL,0.02386987748204472,0.08774685816876149,100.313,
2023-02-16,42462618.0,96.262,95.37,95.51,97.68,94.74,375960,GOOGL,-0.014751392613987946,0.07170107719928231,99.97999999999999,
