Date,Volume,vw,Open,Close,High,Low,n,Symbol,Return,Cumulative Return,10-Day MA,100-Day MA
2023-01-03,74850731.0,380.9576,384.37,380.82,386.43,377.831,590240,SPY,,,,
2023-01-04,85934098.0,383.1494,383.18,383.76,385.88,380.0,632808,SPY,0.007720182763510275,0.007720182763510275,,
2023-01-05,76275354.0,380.2625,381.72,379.38,381.84,378.76,530896,SPY,-0.011413383364602847,-0.003781314006617298,,
2023-01-06,104052662.0,385.2463,382.61,388.08,389.25,379.4127,687390,SPY,0.0229321524592756,0.019064124783362058,,
2023-01-09,73978071.0,390.3628,390.37,387.86,393.7,387.67,549428,SPY,-0.0005668934240361523,0.018486424032351234,,
2023-01-10,65298094.0,389.0824,387.25,390.58,390.65,386.27,471958,SPY,0.007012839684422234,0.025628906044850686,,
2023-01-11,68702980.0,393.3003,392.23,395.52,395.6,391.38,452701,SPY,0.012647857033130316,0.03860091381755182,,
2023-01-12,90145699.0,396.312,396.67,396.96,398.485,392.42,665042,SPY,0.00364077669902918,0.04238222782416923,,
2023-01-13,63853932.0,396.8377,393.62,398.5,399.1,393.34,468376,SPY,0.003879484079000406,0.0464261330812461,,
2023-01-17,62577281.0,398.1971,398.48,397.77,400.23,397.06,437653,SPY,-0.0018318695106650518,0.04450921695289134,389.923,
2023-01-18,99495062.0,394.555,399.01,391.49,400.12,391.28,642978,SPY,-0.01578801820147313,0.028018486424032707,390.98999999999995,
2023-01-19,86601919.0,389.2674,389.36,388.64,391.08,387.26,548674,SPY,-0.007279879434979208,0.02053463578593595,391.47799999999995,
2023-01-20,91542126.0,392.5901,390.1,395.88,396.04,388.38,505912,SPY,0.018629065459036642,0.03954624231920634,393.128,
2023-01-23,84178797.0,399.7705,396.72,400.63,402.645,395.72,568459,SPY,0.011998585429928266,0.052019326716034264,394.383,
2023-01-24,59469411.0,399.9358,398.88,400.2,401.15,397.64,434102,SPY,-0.0010733095374785284,0.05089018433905812,395.61699999999996,
2023-01-25,84684501.0,397.8551,395.95,400.35,400.7,393.56,583220,SPY,0.0003748125937033109,0.05128407121474754,396.594,
2023-01-26,72177425.0,402.6127,403.13,404.75,404.92,400.03,521281,SPY,0.010990383414512195,0.0628380862349669,397.517,
2023-01-27,68249180.0,405.7891,403.655,405.68,408.16,403.44,496478,SPY,0.002297714638665793,0.06528018486424059,398.389,
2023-01-30,74067618.0,402.2276,402.8,400.59,405.13,400.28,514522,SPY,-0.012546834943798157,0.051914290215850256,398.598,
2023-01-31,86655786.0,404.1605,401.13,406.48,406.53,400.77,512619,SPY,0.014703312613894681,0.06738091486791697,399.469,
